token,known
NELIO,0
NELIS,0
NELSON,1
NENA,0
NERI,1
NETO,0
NICOLAS,1
NICOLASA,1
NICOUS,0
NICOUSA,0
NIEBES,1
NILO,0
NINIA,0
NITA,0
NO,0
NOE,1
NOEL,1
NOEMI,1
NOISES,0
NOLBERTO,1
NOMBRE,0
NORA,1
NORBERTA,1
NORBERTO,1
NORMA,1
NORSERTO,0
NSE,0
NSEMI,0
O,0
OABID,0
OAMIAN,0
OANIEL,0
OBID,0
OBIDIO,1
OBIOIO,0
OBISPO,1
OBOULIO,0
OCMINGO,0
OCTABIANO,1
OCTABIO,1
OE,0
OEL,0
OELNI,0
OFELIA,1
OFILIO,1
OGNASIA,0
OII,0
OIMAS,0
OLIBERIO,1
OLIBEROS,0
OLIBIA,1
OLINDA,1
OMA,0
OMAR,1
OOLCRES,0
OOLORES,0
ORBELIMA,0
ORBELINA,1
ORBELIO,1
ORCAR,1
ORESTES,1
ORLANDO,1
ORLANOA,0
ORTENSIA,1
OSCAR,1
OSMAR,1
OSMARO,0
OSMIN,0
OSMUNDO,0
OSORIO,1
OSTDIO,0
OTILIA,1
OTILIO,1
OTTO,1
P,0
PABLA,1
PABLINO,1
PABLITO,0
PABLO,1
PABU,0
PAC,0
PACA,0
PACO,0
PAS,1
PASCUAL,1
PASTOR,1
PASTORA,1
PATRISIA,1
PATRISINO,1
PATRISIO,1
PATROSINIA,0
PAUL,1
PAULA,1
PAULINA,1
PAULINO,1
PAULITA,0
PAULO,1
PCMPILIO,0
PCRFIRIO,0
PEDRO,1
PEDRONA,1
PEINTA,0
PERES,1
PERFECTO,1
PERFILIA,0
PETRCNILO,0
PETRONA,1
PETRONILA,1
PICCUINTA,0
PILAR,1
PIO,1
PLASIDO,1
POLITO,0
POLO,1
PORFIRIO,1
PORIRIO,0
PRCOENSIA,0
PRESENTASION,1
PRISILA,1
PROSPERO,1
PRUDENSIO,1
PRUOENSIA,0
RAFAEL,1
RAFAELA,1
RAIMUNDA,1
RAIMUNDO,0
RAIMUNOA,0
RAIMUNOO,0
RAMIRO,1
RAMON,1
RAQUEL,1
RAUL,1
RCBERTA,0
RCBERTO,0
RCHELIA,0
RCMELIA,0
RCMELSA,0
RCMILIA,0
RCMOLO,0
RCMULO,0
RCOIL,0
RCOOLFO,0
RCORIGO,0
RE,0
REBECA,1
REFAEL,0
REIA,0
REIMA,0
REIMUNDA,0
REIMUNDO,1
REIMUNOO,0
REINA,1
REINALDA,1
REINALDO,1
REINITA,0
REINO,1
REIUNDO,0
REIWALDO,0
REJINO,1
REMON,0
RENE,1
RENSO,1
REYES,1
RICARDO,1
RICARGO,0
RICAROO,0
RICHARD,0
RIGCBERTO,0
RIGOBERTO,1
RIMALDO,1
RISELIA,0
RITA,1
RLMALDO,0
ROBERTO,1
ROBINSON,1
RODOLFO,1
RODRIGO,1
ROFAEU,0
ROGUE,0
ROJELIO,1
ROJILIO,0
ROLANDO,1
ROMAN,1
ROMANA,1
ROMANITA,0
ROOOLFO,0
ROOUE,0
ROSA,1
ROSALES,1
ROSALI,0
ROSALINA,1
ROSALIO,1
ROSALIYO,0
ROSANDO,1
ROSANITA,0
ROSARIO,1
ROSEDO,0
ROSENDO,1
ROSENOA,0
ROSENOO,0
ROSITA,0
ROUALDO,0
ROUMALDO,0
ROXANA,1
RUB,0
RUBEN,1
RUFINA,1
RUFINO,1
RUMALDA,1
RUMALDO,1
RUMALOA,0
RUOIS,0
RUPERTINO,1
RUPERTO,1
RUSEL,0
RUTILIO,1
SA,0
SABAS,1
SABINO,1
SABRINA,1
SAGRARIO,1
SAL,0
SALBADOR,1
SALBADORA,1
SALBAOA,0
SALOME,1
SALOMON,1
SAMUEL,1
SANDRA,1
SANTANA,1
SANTIAGO,1
SANTO,0
SANTOS,1
SARA,1
SATURN,0
SATURNIMA,0
SATURNINO,1
SATURNIO,0
SAUL,1
SCNIA,0
SE,0
SEBASTIAN,1
SECUNDINO,1
SEFARSO,0
SEFERINO,1
SEGUNDO,1
SEGUNOO,0
SEIESTIA,0
SELBIM,0
SELEDONIO,1
SELESTINA,1
SELESTINO,1
SELIA,1
SELINA,1
SELIO,1
SELSO,1
SEN,0
SENAIDA,1
SENONA,0
SERAFIN,1
SERAFINA,1
SERBANDO,1
SERBELIO,1
SERBENIO,0
SERJIO,1
SERNADINA,0
SERNAL,0
SERSABE,0
SERSAR,0
SESAR,1
SESILIA,1
SESILIO,1
SI,0
SIFREDO,0
SIGFREDO,0
SIJIFREDO,1
SILBA,1
SILBERIO,1
SILBESTRE,1
SILBIA,1
SIMEON,1
SIMON,1
SIMONA,1
SIN,0
SINACA,1
SIO,0
SIPRIANA,1
SIPRIANO,1
SIRCUNSISION,0
SIRIACA,1
SIRIACO,1
SISTO,0
SIXTO,1
SOCORRO,1
SOFIA,1
SOILA,1
SOILITA,0
SON,0
SONIA,1
SOTERO,0
SRADE,0
SRAULIO,0
SRIJIDA,0
SUSANA,1
TACHA,0
TADEO,1
TANIRA,1
TCHAS,0
TCKAS,0
TCMAS,0
TCMASA,0
TCMASITO,0
TCNO,0
TECOCRO,0
TECOORO,0
TECOULA,0
TEI,0
TEL,0
TEO,0
TEOBLA,0
TEODORA,1
TEODORO,1
TEOFILA,1
TEOFILO,1
TEOFIU,0
TEOOORA,0
TEOOORO,0
TERENSIO,0
TERESA,1
TIMOTEA,1
TIMOTEO,1
TINA,0
TINO,0
TIOTEA,0
TITO,1
TNES,0
TO,0
TOBIAS,1
TOEDOLIDA,0
TOFILTO,0
TOMAS,1
TOMASA,1
TON,0
TONO,0
TORISIO,0
TRANQUILINO,1
TRANS,0
TRANSITO,1
TRASITO,0
TRINIDAD,1
TROFINO,0
TUIIO,0
TULIA,1
TULIO,1
TURIBIO,0
UBALDO,1
UBERSENLAOO,0
UBERTO,0
UBILSIOO,0
UENSESUO,0
UGO,1
UILFREDO,0
UILFRGDO,0
UILFRIDO,0
ULALIO,0
ULISES,1
UMBERT,0
UMBERTO,1
UMSERTO,0
UNA,0
URSULA,1
URT,0
USARO,0
USULA,0
UWBERTO,0
UYOA,1
WALTER,1
WENSESLAO,1
WILFREDO,1
WILIAN,0
WILMER,1
WILSERT,0
WIYIAM,1
XENIA,0
YANET,1
YANIRA,1
YESENIA,1
YEYO,0
YOLANDA,1
YOLANOA,0
ABDON,1
ABSAI,0
ADADN,0
ADOFO,0
AGAPITA,1
ARQUIMIDES,1
AUDELIA,1
BARTOLA,1
BAUDILIO,1
BERNAL,1
BERNALDINO,1
BERSABE,0
BICTORINA,1
BINSENSE,0
BITALINO,1
BLAS,1
BRIJIDA,1
BRIJIDO,1
CANDA,0
CARMELINA,1
CHAR,0
CHICO,0
CHITO,0
CHOM,0
CONRADINO,1
CORALIA,1
CUSTODIO,1
DIGNA,1
DIOS,1
DOMEO,0
DOMITILA,1
DORASILDA,0
EBANJELISTA,1
EITEL,1
ELBIA,1
ELMER,1
EMILINA,1
ENRIQUETA,1
ENTIMO,0
ESTELINDA,1
FACUNDO,1
FILADELFO,1
FLORENSIO,1
FLORINDA,1
FRANSISCOP,0
GAMADIEL,1
GOYO,1
INDALESIO,1
IRINED,0
ISIDORO,1
JIMMI,0
JORJITO,0
JOTRJE,0
JUSTINA,1
LEODAN,1
LEONIDES,1
LIBORIO,1
LILA,1
LINDA,1
LORINDA,1
LUSIDIA,1
MADO,0
MAGDELENA,0
MAGUIRILIO,0
MARBEL,1
MARDO,0
MARDOQUEO,1
MARGOT,1
MARSELO,1
MAUDALENO,0
MEDARDA,1
MODESTA,1
MONICO,1
MONSE,0
NACHO,0
NIEBE,1
OBDULIO,1
ODILIA,1
ODOFREDO,0
OLIMPIA,1
ORLANDA,1
PETRONILO,1
PIOQUINTA,1
POMPILIO,1
PRODENSIA,0
PRUDENSIA,1
RINALDO,1
ROBERTA,1
RODIL,1
ROFAELA,0
ROMELIA,1
ROMILIA,0
ROMOLO,0
ROMUALDO,1
ROMULO,1
ROQUE,1
ROSAMINTA,0
ROSENDA,1
RUBIA,1
RUDIS,1
SALBADA,1
SATURNINA,1
SELBIN,1
SENIA,1
SRA.,0
TELEPORO,0
TEODULA,1
TOEDOLINDA,0
TOMASITO,0
TONIA,0
TONITO,0
TORIBIO,1
UBERSENLADO,0
UBILSIDO,0
URI,1
WILBERT,1
WILFRIDO,1
WILIAM,1
